"Run","Run ID","mse","cv_mean_score","activation","solver","hidden_layer_sizes","learning_rate_init"
"BEST_MLP_Model","29fb24c5f20e48a885cbcfb6a622a3ae","0.000005033142087984043","","","","",""
"MLP_Model_54","1e681d3b7a76435fb1c17405781dae19","0.00005167259503914932","0.00005411428404029107","tanh","lbfgs","(100, 100, 100)","1e-06"
"MLP_Model_53","64626a06f4684c908e7ce548bfac46ae","0.13672209502263996","0.04771804113608689","tanh","sgd","(100, 100, 100)","1e-06"
"MLP_Model_52","558ddd07087641e18be4daa69c03f08b","0.042702216139002755","0.1181411520411385","tanh","adam","(100, 100, 100)","1e-06"
"MLP_Model_51","a44ce8d254304c4b93b8eada76f307aa","0.00005167259503914932","0.000048644539856319517","tanh","lbfgs","(100, 100, 100)","0.0001"
"MLP_Model_50","24ec9a2233fb4734b9cd012e88b6d75f","0.016629364544665813","0.0030416563203481024","tanh","sgd","(100, 100, 100)","0.0001"
"MLP_Model_49","12ce9f30b6234eba963ae0b9aff1af23","0.000057815944581702143","0.0005420709288209037","tanh","adam","(100, 100, 100)","0.0001"
"MLP_Model_48","b4a95ea26d7d4d9d888a14175561d47e","0.00005167259503914932","0.000048222431709251464","tanh","lbfgs","(100, 100, 100)","0.01"
"MLP_Model_47","4b202e0ecfb7443f9d8b41b42670f4f0","0.00007707363323337554","0.00007273531911311709","tanh","sgd","(100, 100, 100)","0.01"
"MLP_Model_46","d6afc6545e674d99967fcc8339430827","0.00005545621968016501","0.00012173469136388456","tanh","adam","(100, 100, 100)","0.01"
"MLP_Model_45","88c1fefd462c4a63b787a5abfdb4baf1","0.0000575735735375766","0.00004731872431219472","tanh","lbfgs","(100, 100)","1e-06"
"MLP_Model_44","24b6ad9e7e204b1b96128d2cece177fb","0.052444949597865144","0.0706837921348663","tanh","sgd","(100, 100)","1e-06"
"MLP_Model_43","7822df4aede941519c5fe6b162049a25","0.050800426247804564","0.10451076832273658","tanh","adam","(100, 100)","1e-06"
"MLP_Model_42","1d4202c9d20647f88b669669d185a15b","0.0000575735735375766","0.00004749971191674739","tanh","lbfgs","(100, 100)","0.0001"
"MLP_Model_41","4290068835764468a16d913d9bc8ad69","0.004956766808692111","0.0051642496870943945","tanh","sgd","(100, 100)","0.0001"
"MLP_Model_40","c8788b3fa88a46808032e942eb8aa373","0.00008319215451163345","0.00019060392266631956","tanh","adam","(100, 100)","0.0001"
"MLP_Model_39","6b6a5c8159c14fc989e5915aa9a35572","0.0000575735735375766","0.00005044241610024963","tanh","lbfgs","(100, 100)","0.01"
"MLP_Model_38","c90160b70116440592b5ad4d516dd6bc","0.00006316065816322249","0.00008802710783839582","tanh","sgd","(100, 100)","0.01"
"MLP_Model_37","58cedc3a46484d2ebe38c26a18366d78","0.00007315159085017336","0.00022052676045359142","tanh","adam","(100, 100)","0.01"
"MLP_Model_36","c5b48f01c63b46f6abe91a22ca99bbc9","0.000046947903364234684","0.00004722764830617467","tanh","lbfgs","(100,)","1e-06"
"MLP_Model_35","b13cf9b7a19d4ae5b085c3576278dfba","0.021816884705922947","0.05788099703321639","tanh","sgd","(100,)","1e-06"
"MLP_Model_34","14c7571c24f646168547ecece04495e6","0.021591881021706793","0.08437312419093718","tanh","adam","(100,)","1e-06"
"MLP_Model_33","de40ed29722e4d1da95dd42ddb4aeee5","0.000046947903364234684","0.00004239439848246262","tanh","lbfgs","(100,)","0.0001"
