"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","activation","best_activation","best_hidden_layer_sizes","best_learning_rate_init","best_solver","hidden_layer_sizes","learning_rate_init","solver","cv_best_score","cv_mean_score","cv_std_score","mape","mse","is_best","model_type"
"2025-09-14 16:55:57","5.3s","ad255dfb82d246d2bfd58cfa4846f0dd","MLP_Model_12","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100)","0.01","lbfgs","","0.000004181290270530607","4.2486425674353906e-7","1.5767202487552232","0.0000054268027389710155","",""
"2025-09-14 16:56:57","4.8s","35eac0ecb7eb45b0be8a34382f7c8294","MLP_Model_24","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100, 100)","0.0001","lbfgs","","0.0000053819465333191385","5.202421710294857e-7","2.668686171790765","0.00000870459035196819","",""
"2025-09-14 16:55:12","5.0s","7c11d5e1fcf44cedbc30384b59910d2a","MLP_Model_3","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100,)","0.01","lbfgs","","0.000006834741590568701","0.0000013640459100283103","2.520600742957275","0.000005812120976454424","",""
"2025-09-14 16:56:12","5.0s","6d11dece48d64c5d89827ccfdec7066c","MLP_Model_15","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100)","0.0001","lbfgs","","0.000008065936303410455","0.0000016556159353102713","1.5767202487552232","0.0000054268027389710155","",""
"2025-09-14 16:56:42","4.8s","8cc33643c9c649e8bfccdff756366aa6","MLP_Model_21","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100, 100)","0.01","lbfgs","","0.000008302241662527454","0.0000025425224346145534","2.668686171790765","0.00000870459035196819","",""
"2025-09-14 16:57:13","5.5s","090c49d5151d44c9aec89135a740fa70","MLP_Model_27","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100, 100)","1e-06","lbfgs","","0.000008534577705201278","0.000003131792398353832","2.668686171790765","0.00000870459035196819","",""
"2025-09-14 16:55:42","5.1s","26b226e44d7742a2b1ab4987d5dd4813","MLP_Model_9","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100,)","1e-06","lbfgs","","0.000008536940882489025","9.097016943964529e-7","2.520600742957275","0.000005812120976454424","",""
"2025-09-14 16:56:27","4.9s","d61f6ba3dc0f466f9bb01815e6989508","MLP_Model_18","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100)","1e-06","lbfgs","","0.000008929871124209841","0.0000019096407781402862","1.5767202487552232","0.0000054268027389710155","",""
"2025-09-14 16:55:27","4.9s","afe4403b24504cf4955999abcece5fff","MLP_Model_6","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100,)","0.0001","lbfgs","","0.000013079372175147478","0.000007695049524625744","2.520600742957275","0.000005812120976454424","",""
"2025-09-14 16:56:32","4.8s","f85c639c05334b8cb691a6e24cac5a72","MLP_Model_19","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100, 100)","0.01","adam","","0.000033790342867368144","0.000010301886382344634","3.714770543420965","0.000010553942725530659","",""
"2025-09-14 16:57:45","5.5s","de40ed29722e4d1da95dd42ddb4aeee5","MLP_Model_33","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100,)","0.0001","lbfgs","","0.00004239439848246262","0.000005069506457270041","3.7183211199625434","0.000046947903364234684","",""
"2025-09-14 16:57:29","5.2s","cd497983ce674bcb93f0372a413c1b37","MLP_Model_30","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100,)","0.01","lbfgs","","0.00004404865944470182","0.000008621175152578746","3.7183211199625434","0.000046947903364234684","",""
"2025-09-14 16:58:01","5.5s","c5b48f01c63b46f6abe91a22ca99bbc9","MLP_Model_36","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100,)","1e-06","lbfgs","","0.00004722764830617467","0.0000083075023323235","3.7183211199625434","0.000046947903364234684","",""
"2025-09-14 16:58:50","5.0s","88c1fefd462c4a63b787a5abfdb4baf1","MLP_Model_45","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100)","1e-06","lbfgs","","0.00004731872431219472","0.000008779163019550082","4.083439966622336","0.0000575735735375766","",""
"2025-09-14 16:58:35","5.2s","1d4202c9d20647f88b669669d185a15b","MLP_Model_42","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100)","0.0001","lbfgs","","0.00004749971191674739","0.000012852572465582754","4.083439966622336","0.0000575735735375766","",""
"2025-09-14 16:59:05","5.7s","b4a95ea26d7d4d9d888a14175561d47e","MLP_Model_48","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100, 100)","0.01","lbfgs","","0.000048222431709251464","0.0000045809832379240705","3.781147028149648","0.00005167259503914932","",""
"2025-09-14 16:59:23","5.3s","a44ce8d254304c4b93b8eada76f307aa","MLP_Model_51","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100, 100)","0.0001","lbfgs","","0.000048644539856319517","0.0000014784097304472965","3.781147028149648","0.00005167259503914932","",""
"2025-09-14 16:58:17","5.6s","6b6a5c8159c14fc989e5915aa9a35572","MLP_Model_39","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100)","0.01","lbfgs","","0.00005044241610024963","0.000011583920791725271","4.083439966622336","0.0000575735735375766","",""
"2025-09-14 16:59:41","5.7s","1e681d3b7a76435fb1c17405781dae19","MLP_Model_54","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100, 100)","1e-06","lbfgs","","0.00005411428404029107","0.000011857441429065774","3.781147028149648","0.00005167259503914932","",""
"2025-09-14 16:59:00","5.1s","4b202e0ecfb7443f9d8b41b42670f4f0","MLP_Model_47","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100, 100)","0.01","sgd","","0.00007273531911311709","0.000004539979013986593","5.527891647951429","0.00007707363323337554","",""
"2025-09-14 16:55:47","5.1s","86c4fc8783ff44879d81b11e1fb997bf","MLP_Model_10","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100)","0.01","adam","","0.00007760215620107851","0.000027360473932332356","4.338025860625136","0.00003825477923294376","",""
